,Name,Type,Cost,Color,Rarity,Quality,Price,Set,Description
34,Juzam Djinn,5/5 Creature - Djinn,4,BB,R,EX,1799.99,Arabian Nights,"At the beginning of your upkeep, Juzam Djinn deals 1 damage to you."
35,Mox Diamond,Artifact,0,,M,NM,799.99,From the Vault: Relics,"If Mox Diamond would enter the battlefield, you may discard a land card instead. If you do, put Mox Diamond onto the battlefield. If you don't, put it into its owner's graveyard.{T}: Add one mana of any color to your mana pool."
36,Endurance,3/4 Creature - Elemental Incarnation,3,GG,M,NM,44.99,Modern Horizons 2,"FlashReachWhen Endurance enters the battlefield, up to one target player puts all the cards from their graveyard on the bottom of their library in a random order.Evoke - Exile a green card from your hand."
37,Cyclonic Rift,Instant,2,U,R,NM,44.99,Return to Ravnica,Return target nonland permanent you don't control to its owner's hand.Overload 6{U} 
38,Lotus Petal,Artifact,0,,C,NM,24.99,Tempest,"{T}, Sacrifice Lotus Petal: Add one mana of any color."
39,Dockside Extortionist,1/2 Creature - Goblin Pirate,2,R,R,NM,64.99,Commander 2019,"When Dockside Extortionist enters the battlefield, create X Treasure tokens, where X is the number of artifacts and enchantments your opponents control. "
40,Grim Monolith,Artifact,2,,R,EX,224.99,Urza's Legacy,Grim Monolith doesn't untap during your untap step.{T}: Add {C}{C}{C}.{4}: Untap Grim Monolith.
41,"Ulamog, the Ceaseless Hunger",10/10 Legendary Creature - Eldrazi,10,,M,NM,59.99,Battle for Zendikar,"When you cast this spell, exile two target permanents.IndestructibleWhenever Ulamog, the Ceaseless Hunger attacks, defending player exiles the top twenty cards of their library."
42,"Boseiju, Who Endures",Legendary Land,0,,R,NM,34.99,Kamigawa: Neon Dynasty,"{T}: Add {G}. - {1}{G}, Discard Boseiju, Who Endures: Destroy target artifact, enchantment, or nonbasic land an opponent controls. That player may search their library for a land card with a basic land type, put it onto the battlefield, then shuffle. This ability costs {1} less to activate for each legendary creature you control."
43,Ancient Tomb,Land,0,,U,NM,89.99,Tempest,{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.
44,Smothering Tithe,Enchantment,4,W,R,NM,27.99,Ravnica Allegiance,"Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color."""
45,Black Market Connections,Enchantment,3,B,R,NM,37.99,Commander Legends: Battle for Baldur's Gate,"At the beginning of your precombat main phase, choose one or more - "
46,Fury,3/3 Creature - Elemental Incarnation,5,RR,M,NM,37.99,Modern Horizons 2,"Double strikeWhen Fury enters the battlefield, it deals 4 damage divided as you choose among any number of target creatures and/or planeswalkers.Evoke - Exile a red card from your hand."
47,Mox Amber,Legendary Artifact,0,,M,NM,32.99,The Brothers' War Retro Artifacts,{T}: Add one mana of any color among legendary creatures and planeswalkers you control.
48,Diabolic Intent,Sorcery,2,B,R,NM,10.99,The Brothers' War,"As an additional cost to cast this spell, sacrifice a creature.Search your library for a card and put that card into your hand. Then shuffle your library."
49,The Wandering Emperor,Legendary Planeswalker,4,WW,M,NM,29.99,Kamigawa: Neon Dynasty,"FlashAs long as The Wandering Emperor entered the battlefield this turn, you may activate her loyalty abilities any time you could cast an instant.[+1]: Put a +1/+1 counter on up to one target creature. It gains first strike until end of turn.[-1]: Create a 2/2 white Samurai creature token with vigilance.[-2]: Exile tapped target creature. You gain 2 life.|3|"
50,Mox Ruby,Artifact,0,,R,EX,5279.99,Unlimited,{T}: Add {R}.
51,Sol Ring (KLD), Artifact,1,,S,EX,989.99,Masterpiece Series: Inventions,{T}: Add {C}{C} to your mana pool.
52,Windswept Heath,Land,0,,R,NM,22.99,Khans of Tarkir,"{T}, Pay 1 life, Sacrifice Windswept Heath: Search your library for a forest or plains card and put it into play. Then shuffle your library."
53,Lightning Bolt (Judge Foil),Instant,1,R,S,EX,809.99,Promotional,Lightning Bolt deals 3 damage to any target.
54,Deflecting Swat,Instant,3,R,R,NM,59.99,Commander 2020,"If you control a commander, you may cast this spell without paying its mana cost.You may choose new targets for target spell or ability."
55,Survival of the Fittest,Enchantment,2,G,R,EX,206.99,Exodus,"{G}, Discard a creature card: Search your library for a creature card, reveal that card, and put it into your hand. Then shuffle your library."
56,Cavern of Souls,Land,0,,R,NM,64.99,Avacyn Restored,"As Cavern of Souls enters the battlefield, choose a creature type.{T}: Add {C}.{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered."
57,Ledger Shredder,1/3 Creature - Bird Advisor,2,U,R,NM,24.99,Streets of New Capenna,"FlyingWhenever a player casts their second spell each turn, Ledger Shredder connives. "
58,"Sheoldred, the Apocalypse (Phyrexian)",4/5 Legendary Creature - Phyrexian Praetor,4,BB,M,NM,74.99,Dominaria United Variants,"DeathtouchWhenever you draw a card, you gain 2 life.Whenever an opponent draws a card, they lose 2 life."
59,Demonic Tutor,Sorcery,2,B,U,NM,49.99,3rd Edition,Search your library for a card and put that card into your hand. Then shuffle your library.
60,Wurmcoil Engine,6/6 Artifact Creature - Phyrexian Wurm,6,,M,NM,20.99,The Brothers' War Retro Artifacts,"Deathtouch, lifelinkWhen Wurmcoil Engine dies, create a 3/3 colorless Wurm artifact creature token with deathtouch and a 3/3 colorless Wurm artifact creature token with lifelink."
61,Force of Negation,Instant,3,UU,R,NM,34.99,Modern Horizons,"If it's not your turn, you may exile a blue card from your hand rather than pay this spell's mana cost.Counter target noncreature spell. If that spell is countered this way, exile it instead of putting it into it's owner's graveyard."
62,Misty Rainforest,Land,0,,R,NM,22.99,Modern Horizons 2,"{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle."
63,The Meathook Massacre,Legendary Enchantment,3,XBB,M,NM,57.99,Innistrad: Midnight Hunt,"When The Meathook Massacre enters the battlefield, each creature gets -X/-X until end of turn.Whenever a creature you control dies, each opponent loses 1 life.Whenever a creature an opponent controls dies, you gain 1 life."
64,Intuition,Instant,3,U,R,EX,152.99,Tempest,Search your library for three cards and reveal them. Target opponent chooses one. Put that card into your hand and the rest into your graveyard. Then shuffle your library.
65,Mana Crypt,Artifact,0,,M,NM,179.99,Mystery Booster/The List,"At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.{T}: Add {C}{C}."
66,Gauntlet of Might,Artifact,4,,R,EX,879.99,Unlimited,"Red creatures get +1/+1.Whenever a Mountain is tapped for mana, its controller adds an additional {R}."
67,Parallel Lives,Enchantment,4,G,R,EX,42.49,Innistrad,"If an effect would put one or more tokens onto the battlefield under your control, it puts twice that many of those tokens onto the battlefield instead."
68,Wrenn and Six,Legendary Planeswalker - Wrenn,2,RG,M,NM,59.99,Modern Horizons,"[+1]: Return up to one target land card from your graveyard to your hand.[-1]: Wrenn and Six deals 1 damage to any target.[-7]: You get an emblem with ""Instant and sorcery cards in your graveyard have retrace.""|3|"
69,Moat,Enchantment,4,WW,R,EX,1169.99,Legends,Creatures without flying can't attack.
70,"Liliana, Dreadhorde General (097 - JPN Alternate Art Prerelease Foil)",Legendary Planeswalker - Liliana,6,BB,M,NM,4999.99,Promotional,"Whenever a creature you control dies, draw a card.[+1]: Create a 2/2 black Zombie creature token.[-4]: Each player sacrifices two creatures.[-9]: Each opponent chooses a permanent they control of each permanent type and sacrifices the rest.|6|"
71,Metalworker,1/2 Artifact Creature - Construct,3,,R,EX,143.99,Urza's Destiny,{T}: Reveal any number of artifact cards in your hand. Add {C}{C} for each card revealed this way.
72,"Nykthos, Shrine to Nyx",Legendary Land,0,,R,NM,34.99,Theros,"{T}: Add {1} to your mana pool.{2}, {T}: Choose a color. Add to your mana pool an amount of that color equal to your devotion to that color. "
73,Deadly Rollick,Instant,4,B,R,NM,47.99,Commander 2020,"If you control a commander, you may cast this spell without paying its mana cost.Exile target creature."
74,Chrome Mox,Artifact,0,,R,EX,76.49,Mirrodin," - When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand.{T}: Add one mana of any of the exiled card's colors."
75,Finale of Devastation,Sorcery,3,XGG,M,NM,54.99,War of the Spark,"Search your library and/or graveyard for a creature card with converted mana cost X or less and put it onto the battlefield. If you search your library this way, shuffle it. If X is 10 or more, creatures you control get +X/+X and gain haste until end of turn."
76,Mana Crypt (Book),Artifact,0,,S,NM,299.99,Promotional,"During your upkeep, flip a coin. Opponent calls heads or tails while coin is in the air. If flip ends up in opponent's favor, Mana Crypt deals 3 damage to you.{T}: Add two colorless mana to your mana pool. Activate this ability as an instant."
77,City of Brass,Land,0,,U,G,370.99,Arabian Nights,"Whenever City of Brass becomes tapped, it deals 1 damage to you.{T}: Add one mana of any color."
78,Sliver Queen,7/7 Legendary Creature - Sliver,5,WUBRG,R,EX,224.99,Stronghold,{2}: Put a 1/1 colorless Sliver creature token onto the battlefield.
79,Scalding Tarn,Land,0,,R,NM,27.99,Modern Horizons 2,"{T}, Pay 1 life, Sacrifice Scalding Tarn: Search your library for a Island or Mountain card, put it onto the battlefield, then shuffle."
80,Mox Opal,Legendary Artifact,0,,M,NM,89.99,Scars of Mirrodin, - {T}: Add one mana of any color to your mana pool. Activate this ability only if you control three or more artifacts.
81,Mana Drain,Instant,2,UU,M,NM,42.99,Commander Legends,"Counter target spell. At the beginning of your next main phase, add an amount of {C} to your mana pool equal to that spell's converted mana cost."
82,Terror of the Peaks,5/4 Creature - Dragon,5,RR,M,NM,44.99,Core Set 2021,"FlyingSpells your opponents cast that target Terror of the Peaks cost an additional 3 life to cast.Whenever another creature enters the battlefield under your control, Terror of the Peaks deals damage equal to that creature's power to any target."
83,Vampiric Tutor,Instant,1,B,M,NM,44.99,Commander Legends,"Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life."
84,Chrome Mox (KLD),Artifact,0,,S,EX,449.99,Masterpiece Series: Inventions," - When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand.{T}: Add one mana of any of the exiled card's colors to your mana pool."
85,"Mishra, Claimed by Gix",3/5 Legendary creature - Phyrexian Human Artificer,4,BR,M,NM,27.99,The Brothers' War," Whenever you attack, each opponent loses X life and you gain X life, where X is the number of attacking creatures. If Mishra, Claimed by Gix and a creature named Phyrexian Dragon Engine are attacking, and you both own and control them, exile them, then meld them into Mishra, Lost to Phyrexia. It enters the battlefield tapped and attacking."
86,Leyline Binding,Enchantment,6,W,R,NM,12.99,Dominaria United,"Flash - This spell costs {1} less to cast for each basic land type among lands you control.When Leyline Binding enters the battlefield, exile target nonland permanent an opponent controls until Leyline Binding leaves the battlefield."
87,"Emrakul, the Promised End",13/13 Legendary Creature - Eldrazi,13,,M,NM,57.99,Eldritch Moon,"Emrakul, the Promised End costs {1} less to cast for each card type among cards in your graveyard.When you cast Emrakul, you gain control of target opponent during that player's next turn. After that turn, that player takes an extra turn.Flying, trample, protection from instants."
88,Spirebluff Canal,Land,0,,R,NM,19.99,Kaladesh,Spirebluff Canal enters the battlefield tapped unless you control two or fewer other lands.{T}: Add {U} or {R} to your mana pool.
89,Mystic Remora,Enchantment,1,U,C,NM,11.99,Ice Age,"Cumulative upkeep {1}Whenever an opponent casts a noncreature spell, you may draw a card unless that player pays {4}."
90,The Ozolith,Legendary Artifact,1,,R,NM,29.99,Ikoria: Lair of Behemoths,"Whenever a creature you control leaves the battlefield, if it had counters on it, put those counters on the Ozolith.At the beginning of combat on your turn, if The Ozolith has counters on it, you may move all counters from The Ozolith onto target creature."
91,Fable of the Mirror-Breaker,Enchantment - Saga,3,R,R,NM,21.99,Kamigawa: Neon Dynasty,"I: Create a 2/2 red Goblin Shaman creature token with ""Whenever this creature attacks, create a Treasure token.""II: You may discard up to two cards. If you do, draw that many cards.III: Exile this Saga, then return it to the battlefield transformed under your control.Reflection of Kiki-JikiEnchantment Creature - Goblin Shaman{1}, {T}: Create a token that's a copy of another target nonlegendary creature you control, except it has haste. Sacrifice it at the beginning of the next end step.2/2"
92,Grief,3/2 Creature - Elemental Incarnation,4,BB,M,NM,18.99,Modern Horizons 2,"MenaceWhen Grief enters the battlefield, target opponent reveals their hand. You choose a nonland card from it. That player discards that card.Evoke - Exile a black card from your hand."
93,Wrenn and Six, Legendary Planeswalker - Wrenn,2,RG,M,NM,64.99,Double Masters 2022," [+1]: Return up to one target land card from your graveyard to your hand.[-1]: Wrenn and Six deals 1 damage to any target.[-7]: You get an emblem with ""Instant and sorcery cards in your graveyard have retrace.""|3|"
94,Verdant Catacombs,Land,0,,R,NM,18.99,Modern Horizons 2,"{T}, Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle."
95,Force of Will (Judge Foil),Instant,5,UU,S,NM,579.99,Promotional,You may pay 1 life and exile a blue card from your hand rather than pay Force of Will's mana cost.Counter target spell.
96,The Ur-Dragon (Foil),10/10 Legendary Creature - Dragon Avatar,9,WUBRG,M,NM,89.99,Secret Lair," - As long as The Ur-Dragon is in the command zone or on the battlefield, other Dragon spells you cast cost {1} less to cast.FlyingWhenever one or more Dragons you control attack, draw that many cards, then you may put a permanent card from your hand onto the battlefield."
97,Rat Colony,2/1 Creature - Rat,2,B,C,NM,4.49,Dominaria,Rat Colony gets +1/+0 for each other Rat you control.A deck can have any number of cards named Rat Colony.
98,"Ragavan, Nimble Pilferer (Borderless)",2/1 Legendary Creature - Monkey Pirate,1,R,M,NM,99.99,Modern Horizons 2 Variants,"Whenever Ragavan, Nimble Pilferer deals combat damage to a player, create a Treasure token and exile the top card of that player's library. Until end of turn, you may cast that card.Dash {1}{R}"
99,The Ur-Dragon (Foil),10/10 Legendary Creature - Dragon Avatar,9,WUBRG,M,NM,99.99,Commander 2017," - As long as The Ur-Dragon is in the command zone or on the battlefield, other Dragon spells you cast cost {1} less to cast.FlyingWhenever one or more Dragons you control attack, draw that many cards, then you may put a permanent card from your hand onto the battlefield."
100,Transmute Artifact,Sorcery,2,UU,U,EX,296.99,Antiquities,"Sacrifice an artifact. If you do, search your library for an artifact card. If that card's converted mana cost is less than or equal to the sacrificed artifact's converted mana cost, put it onto the battlefield. It it's greater, you may pay {X}, where X is the difference. If you do, put it onto the battlefield. If you don't, put it into its owner's graveyard. Then shuffle your library."
101,Polluted Delta (BFZ Expeditions Foil),Land,0,,S,NM,329.99,Masterpiece Series: Expeditions,"{T}, Pay 1 life, Sacrifice Polluted Delta: Search your library for an island or swamp card and put it into play. Then shuffle your library."
102,"Urborg, Tomb of Yawgmoth",Legendary Land,0,,R,NM,42.99,2015 Core Set,Each land is a Swamp in addition to its other land types.
103,"Otawara, Soaring City",Legendary Land,0,,R,NM,16.99,Kamigawa: Neon Dynasty,"{T}: Add {U}. - {3}{U}, Discard Otawara, Soaring City: Return target artifact, creature, enchantment, or planeswalker to its owner's hand. This ability costs {1} less to activate for each legendary creature you control."
104,Misty Rainforest (BFZ Expeditions Foil),Land,0,,S,NM,349.99,Masterpiece Series: Expeditions,"{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card and put it onto the battlefield. Then shuffle your library."
105,Anointed Procession,Enchantment,4,W,R,NM,37.99,Amonkhet,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead."
106,Ashnod's Altar,Artifact,3,,R,NM,9.99,The Brothers' War Retro Artifacts,Sacrifice a creature: Add {C}{C}.
107,Opposition Agent,3/2 Creature - Human Rogue,3,B,R,NM,16.99,Commander Legends,"FlashYou control your opponents while they're searching their libraries.While an opponent is searching their library, they exile each card they find. You may play those cards for as long as they remain exiled, and you may spend mana as though it were mana of any color to cast them."
108,Cabal Coffers,Land,0,,M,NM,20.99,Modern Horizons 2,"{2}, {T}: Add {B} to your mana pool for each Swamp you control."
109,Flusterstorm (Buy-a-Box),Instant,1,U,R,NM,29.99,Promotional,Counter target instant or sorcery spell unless its controller pays {1}.Storm 
110,Enlightened Tutor,Instant,1,W,U,NM,44.99,Mirage,"Search your library for an artifact or enchantment card and reveal that card. Shuffle your library, then put the card on top of it."
111,Jeska's Will,Sorcery,3,R,R,NM,17.99,Commander Legends,"Choose one. If you control a commander as you cast this spell, you may choose both."
112,"Karn, the Great Creator",Legendary Planeswalker - Karn,4,,R,NM,16.99,War of the Spark,"Activated abilities of artifacts your opponents control can't be activated.[+1]: Until your next turn, up to one target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost.[-2]: You may choose an artifact card you own from outside the game or in exile, reveal that card, and put it into your hand.|5|"
113,Doubling Season,Enchantment,5,G,R,NM,119.99,Ravnica,"If an effect would put one or more tokens onto the battlefield under your control, it puts twice that many of those tokens onto the battlefield instead.If an effect would place one or more counters on a permanent you control, it places twice that many of those counters on that permanent instead."
114,Temporal Trespass,Sorcery,11,UUU,M,EX,25.49,Fate Reforged,Delve Take an extra turn after this one.Exile Temporal Trespass.
115,Steam Vents,Land - Island Mountain,0,,R,NM,19.99,Return to Ravnica,"As Steam Vents enters the battlefield, you may pay 2 life. If you don't, it enter the battlefield tapped."
116,Watery Grave,Land - Island Swamp,0,,R,NM,13.99,Guilds of Ravnica,"As Watery Grave enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
117,Serra's Sanctum,Legendary Land,0,,R,EX,251.99,Urza's Saga,{T}: Add {W} for each enchantment you control.
118,Nightmare,*/* Creature - Nightmare Horse,6,B,R,EX,2879.99,Alpha,FlyingNightmare's power and toughness are each equal to the number of Swamps you control.
119,Time Vault,Artifact,2,,R,EX,1439.99,Unlimited,"Time Vault enters the battlefield tapped.Time Vault doesn't untap during your untap step.If you would begin your turn while Time Vault is tapped, you may skip that turn instead. If you do, untap Time Vault.{T}: Take an extra turn after this one."
120,Lightning Bolt,Instant,1,R,C,EX,719.99,Alpha,Lightning Bolt deals 3 damage to any target.
121,Yawgmoth's Will,Sorcery,3,B,R,EX,161.99,Urza's Saga,"Until end of turn, you may play cards from your graveyard. If a card would be put into your graveyard from anywhere this turn, exile that card instead."
122,Cyclonic Rift,Instant,2,U,R,NM,39.99,Commander 2014,Return target nonland permanent you don't control to its owner's hand.Overload 6{U} 
123,Liliana of the Veil (Borderless),Legendary Planeswalker - Liliana,3,BB,M,NM,24.99,Dominaria United Variants,[+1]: Each player discards a card.[-2]: Target player sacrifices a creature.[-6]: Separate all permanents target player controls into two piles. That player sacrifices all permanents in the pile of their choice.|3|
124,Blood Crypt,Land - Swamp Mountain,0,,R,NM,18.99,Return to Ravnica,"As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, Blood Crypt enters the battlefield tapped."
125,Volrath's Stronghold,Legendary Land,0,,R,VG,71.24,Stronghold,"{T}: Add {C}.{1}{B}, {T}: Put target creature card from your graveyard on top of your library."
126,Underworld Breach,Enchantment,2,R,R,NM,14.99,Theros Beyond Death,"Each nonland card in your graveyard has escape. The escape cost is equal to the card's mana cost plus exile three other cards from your graveyard. At the beginning of the end step, sacrifice Underworld Breach."
127,Power Artifact,Enchantment - Aura,2,UU,U,EX,224.99,Antiquities,Enchant artifactEnchanted artifact's activated abilities cost {2} less to activate. This effect can't reduce the mana in that cost to less than one mana.
128,Time Spiral,Sorcery,6,UU,R,EX,125.99,Urza's Saga,"Exile Time Spiral. Each player shuffles their hand and graveyard into their library, then draws seven cards. You untap up to six lands."
129,Sakashima of a Thousand Faces,3/1 Legendary Creature - Human Rogue,4,U,M,NM,27.99,Commander Legends,"You may have Sakashima of a Thousand Faces enter the battlefield as a copy of another creature you control, except it has Sakashima of a Thousand Face's other abilities.The ""legend rule"" doesn't apply to permanents you control.Partner "
130,Urza's Saga (Showcase),Enchantment Land - Urza's Saga,0,,R,NM,44.99,Modern Horizons 2 Variants,"I: Urza's Saga gains ""{T}: Add {CL}.""II: Urza's Saga gains ""{2}, {T}: Create a 0/0 colorless Construct artifact creature token with 'This creature gets +1/+1 for each artifact you control.'""III: Search your library for an artifact card with mana cost {0} or {1}, put it onto the battlefield, then shuffle."
131,Steam Vents (BFZ Expeditions Foil),Land - Island Mountain,0,,S,EX,161.99,Masterpiece Series: Expeditions,"As Steam Vents enters the battlefield, you may pay 2 life. If you don't, Steam Vents enters the battlefield tapped."
132,Breeding Pool,Land - Forest Island,0,,R,NM,22.99,Gatecrash,"As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, Breeding Pool enters the battlefield tapped."
133,Mox Jet (Not Tournament Legal),Artifact,0,,R,NM,849.99,Collectors Ed,{T}: Add {B} to your mana pool.
134,"Urborg, Tomb of Yawgmoth",Legendary Land,0,,R,NM,42.99,Time Spiral Remastered,Each land is a Swamp in addition to its other land types.
135,Force of Negation,Instant,3,UU,R,NM,34.99,Double Masters 2022,"If it's not your turn, you may exile a blue card from your hand rather than pay this spell's mana cost.Counter target noncreature spell. If that spell is countered this way, exile it instead of putting it into it's owner's graveyard."
136,Prismatic Vista,Land,0,,R,NM,24.99,Modern Horizons,"{T}, Pay 1 life, Sacrifice Prismatic Vista: Search your library for a basic land card, put it onto the battlefield, then shuffle your library."
137,Marsh Flats,Land,0,,R,NM,14.99,Modern Horizons 2,"{T}, Pay 1 life, Sacrifice Marsh Flats: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle."
138,Walking Ballista,0/0 Artifact Creature - Construct,2,XX,R,NM,18.99,Aether Revolt,Walking Ballista enters the battlefield with X +1/+1 counters on it.{4}: Put a +1/+1 counter on Walking Ballista.Remove a +1/+1 counter from Walking Ballista: It deals 1 damage to any target.
139,Thoughtseize,Sorcery,1,B,R,NM,17.99,Theros,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.
140,Gemstone Caverns,Legendary Land,0,,M,NM,49.99,Time Spiral Remastered,"If Gemstone Caverns is in your opening hand and you're not the starting player, you may begin the game with Gemstone Caverns on the battlefield with a luck counter on it. If you do, exile a card from your hand.{T}: Add {C}. If Gemstone Caverns has a luck counter on it, instead add one mana of any color."
141,Timeless Lotus,Legendary Artifact,5,,M,NM,16.99,Dominaria United,Timeless Lotus enters the battlefield tapped.{T}: Add {W}{U}{B}{R}{G}. 
